Trial Number,Die Result
1,3
2,1
3,5
4,3
5,5
6,6
7,2
8,3
9,1
10,2
11,2
12,5
13,1
14,6
15,3
16,1
17,2
18,5
19,2
20,6
21,5
22,5
23,5
24,2
25,3
26,5
27,3
28,3
29,1
30,4
31,6
32,6
33,6
34,2
35,4
36,2
37,6
38,1
39,2
40,2
41,6
42,1
43,2
44,6
45,2
46,6
47,5
48,4
49,1
50,5
51,1
52,6
53,3
54,4
55,4
56,5
57,4
58,3
59,2
60,2
61,1
62,6
63,6
64,6
65,3
66,2
67,5
68,3
69,2
70,5
71,4
72,3
73,6
74,4
75,6
76,5
77,6
78,3
79,6
80,3
81,3
82,3
83,5
84,6
85,1
86,2
87,1
88,2
89,3
90,3
91,3
92,2
93,2
94,5
95,3
96,5
97,6
98,1
99,5
100,5
101,4
102,3
103,6
104,4
105,4
106,3
107,5
108,2
109,4
110,3
111,2
112,3
113,3
114,2
115,1
116,2
117,4
118,4
119,4
120,3
121,2
122,5
123,4
124,3
125,3
126,2
127,3
128,1
129,1
130,6
131,6
132,4
133,2
134,1
135,6
136,2
137,4
138,2
139,1
140,5
141,4
142,6
143,3
144,6
145,4
146,5
147,4
148,1
149,2
150,2
151,6
152,1
153,2
154,1
155,5
156,6
157,6
158,6
159,2
160,4
161,3
162,3
163,2
164,4
165,2
166,5
167,2
168,3
169,3
170,6
171,2
172,4
173,5
174,3
175,2
176,6
177,4
178,4
179,2
180,4
181,1
182,5
183,3
184,5
185,6
186,3
187,2
188,1
189,4
190,4
191,3
192,4
193,4
194,4
195,6
196,5
197,3
198,6
199,2
200,6
201,1
202,5
203,6
204,6
205,3
206,1
207,3
208,2
209,5
210,4
211,1
212,5
213,5
214,5
215,1
216,3
217,2
218,1
219,6
220,1
221,4
222,5
223,5
224,5
225,6
226,1
227,3
228,1
229,4
230,6
231,4
232,2
233,2
234,1
235,4
236,6
237,4
238,5
239,2
240,3
241,1
242,4
243,6
244,2
245,2
246,5
247,5
248,1
249,6
250,6
251,1
252,5
253,6
254,5
255,2
256,6
257,2
258,1
259,5
260,2
261,2
262,4
263,4
264,4
265,2
266,2
267,5
268,6
269,5
270,3
271,6
272,4
273,1
274,3
275,2
276,2
277,1
278,4
279,2
280,1
281,5
282,4
283,6
284,1
285,6
286,4
287,1
288,1
289,6
290,6
291,1
292,6
293,3
294,2
295,1
296,4
297,5
298,5
299,6
300,4
301,5
302,4
303,4
304,6
305,5
306,2
307,3
308,6
309,3
310,4
311,3
312,6
313,2
314,1
315,2
316,4
317,6
318,6
319,4
320,5
321,1
322,2
323,1
324,1
325,6
326,4
327,3
328,4
329,3
330,5
331,2
332,5
333,1
334,3
335,4
336,2
337,1
338,6
339,2
340,5
341,3
342,1
343,5
344,5
345,4
346,2
347,1
348,1
349,5
350,6
351,2
352,4
353,6
354,3
355,2
356,5
357,1
358,6
359,5
360,3
361,2
362,3
363,6
364,1
365,4
366,3
367,4
368,3
369,2
370,5
371,1
372,5
373,4
374,4
375,1
376,2
377,6
378,2
379,2
380,3
381,6
382,4
383,4
384,1
385,2
386,6
387,5
388,2
389,1
390,3
391,6
392,2
393,5
394,2
395,1
396,4
397,3
398,2
399,2
400,6
401,4
402,4
403,4
404,6
405,6
406,6
407,5
408,4
409,5
410,4
411,2
412,1
413,2
414,3
415,2
416,2
417,5
418,3
419,4
420,2
421,5
422,5
423,1
424,4
425,5
426,5
427,3
428,4
429,6
430,5
431,1
432,3
433,6
434,4
435,4
436,3
437,3
438,5
439,1
440,2
441,4
442,1
443,3
444,1
445,3
446,2
447,3
448,4
449,1
450,1
451,1
452,3
453,3
454,3
455,1
456,6
457,4
458,6
459,2
460,4
461,3
462,2
463,4
464,2
465,5
466,5
467,5
468,3
469,2
470,3
471,5
472,2
473,1
474,2
475,1
476,3
477,1
478,3
479,6
480,2
481,1
482,1
483,2
484,4
485,1
486,1
487,1
488,1
489,4
490,3
491,6
492,3
493,6
494,2
495,6
496,2
497,5
498,1
499,2
500,6
